Feature,SHAP Importance
1009,0.06642344
3504,0.017977402
2268,0.011720439
2641,0.011459724
2058,0.011448655
2915,0.011203081
2161,0.010381889
1779,0.010378654
2801,0.010031163
2429,0.009945972
2828,0.009619166
2944,0.009221851
3104,0.009108699
3303,0.009105084
2508,0.009047649
2285,0.0089072315
2239,0.008801774
2138,0.008568371
4107,0.008391914
2006,0.008138638
3805,0.008019239
2719,0.007952521
4408,0.007926043
2862,0.007881866
3080,0.0078791175
2409,0.0076915366
1974,0.007390793
1721,0.007309298
2168,0.007260337
3403,0.0071719936
4212,0.0070411903
1730,0.0069550076
1850,0.0067572254
2336,0.0067266403
2980,0.0067106434
1908,0.006476707
3108,0.0064747143
2821,0.0064456263
2669,0.0064401566
1887,0.006429888
2312,0.006271513
1786,0.0061630458
2440,0.006122379
2065,0.006099024
2820,0.0060447147
2628,0.0060291835
2624,0.006016374
1754,0.0059521245
3102,0.005850088
2334,0.005836678
1790,0.0058256257
2071,0.0055839643
1814,0.0053961826
2768,0.005382161
2580,0.0053115212
2237,0.00529087
1711,0.005273593
1893,0.005173512
1819,0.0051647597
2833,0.0051300856
2899,0.005092024
2224,0.004956173
4007,0.004920544
2031,0.004904997
2554,0.004806678
2407,0.0047142385
1851,0.004703425
3140,0.004694129
1716,0.0046715476
2792,0.0046604183
1811,0.004637885
2923,0.0046259924
3905,0.004583082
2745,0.004521765
1930,0.0044898684
3145,0.0044559785
2882,0.004450879
1732,0.0044494276
2875,0.0044388906
1744,0.004372841
1866,0.0043657613
2387,0.004343756
2246,0.0043083057
1777,0.004274416
1641,0.004215746
2879,0.004201152
2105,0.004197427
2522,0.004183393
1807,0.004170906
2988,0.004148267
3115,0.004146636
2225,0.004076999
2333,0.004046913
3033,0.004035352
2757,0.0040201335
2907,0.0040049003
2369,0.0040045246
2390,0.003998799
1933,0.003996999
1828,0.003968171
2259,0.003946739
2459,0.003915378
2183,0.003876646
2527,0.0038352443
2887,0.0037711123
1710,0.0037659656
3075,0.0037527576
4169,0.0037406997
1856,0.0037365765
4047,0.0037319406
3815,0.003731332
2955,0.003723464
2765,0.0037174588
2179,0.0037084774
3116,0.0036920882
2979,0.003679846
2863,0.0036626786
1962,0.0036399176
1656,0.0036293135
2860,0.0036012337
1924,0.003569316
1637,0.0035550941
2060,0.0035469837
2630,0.0035450365
1886,0.0035277228
2114,0.0035051396
1969,0.0034885653
1784,0.0034857353
4327,0.0033949872
2500,0.0033481026
2567,0.0033420583
2890,0.0033284358
2292,0.003302121
3130,0.0032865442
2803,0.0032696652
3083,0.003258362
1821,0.0032305028
2738,0.003220843
2957,0.003215769
2714,0.0032056079
2189,0.0032053182
1689,0.00319233
3051,0.0031680216
3802,0.0031582403
2959,0.003154914
4134,0.0031453785
1872,0.0031435809
2747,0.0031392712
1846,0.003121665
2817,0.0031162482
2127,0.0031088397
2450,0.003104483
3577,0.00308995
2705,0.0030695712
2837,0.00305722
1981,0.0030553224
2323,0.0030086972
1940,0.003004369
2743,0.0029979958
1808,0.0029933439
3807,0.0029855464
4272,0.0029850998
3483,0.002972649
2683,0.0029652799
1735,0.002956431
2074,0.0029558819
3123,0.0029501584
2769,0.0029420597
1746,0.0029352456
3109,0.0029284155
2564,0.0029238244
2876,0.002907018
2960,0.0029060903
2640,0.0028887312
3304,0.0028866204
1774,0.0028828678
3027,0.002865628
2397,0.0028459607
4378,0.0028365797
